Date,High,Low,Open,Close,Volume,Return
2019-10-29,44.3,41.76,42.58,43.49,40573.92,2.9105537150970306
2019-10-30,43.92,42.7,43.15,43.68,27029.95,0.4368820418486852
2019-10-31,44.0,42.92,43.77,43.3,14728.66,-0.869963369963378
2019-11-01,45.07,42.26,43.03,44.17,36088.69,2.0092378752887052
2019-11-04,45.5,44.28,45.05,44.93,25666.76,1.7206248585012407
2019-11-05,45.89,44.6,45.43,44.7,23628.38,-0.5119074115290334
2019-11-06,46.5,43.34,45.49,44.7,24160.92,0.0
2019-11-07,45.74,44.56,44.6,45.18,19916.32,1.0738255033557076
2019-11-08,47.0,45.31,45.4,45.79,21608.52,1.3501549358122977
2019-11-11,46.3,44.71,46.0,45.01,24522.08,-1.703428696221887
2019-11-12,46.45,44.95,45.72,45.92,24773.13,2.021772939346822
2019-11-13,49.85,46.36,46.36,49.0,52758.01,6.707317073170738
2019-11-14,49.62,48.06,49.26,49.08,38018.84,0.16326530612245094
2019-11-15,52.17,48.8,48.8,51.05,44318.42,4.013854930725347
2019-11-18,51.79,50.01,51.35,51.35,34055.44,0.587659157688547
2019-11-19,52.5,50.99,51.34,52.1,25105.29,1.4605647517039966
2019-11-20,52.51,51.0,52.51,51.33,25525.82,-1.4779270633397346
2019-11-21,52.2,51.01,51.7,51.74,24386.47,0.7987531657899893
2019-11-22,52.47,50.23,51.75,50.9,28628.31,-1.6235021260146976
2019-11-25,51.49,49.37,50.9,50.91,22792.22,0.019646365422398837
2019-11-26,52.44,50.8,50.91,51.39,34592.55,0.9428403064231095
2019-11-27,51.94,49.83,51.94,50.48,24628.46,-1.7707725238373273
2019-11-28,51.25,49.81,50.1,50.41,20099.03,-0.13866877971473457
2019-11-29,50.74,48.0,50.6,48.68,30503.29,-3.431858758182893
2019-12-02,49.3,47.08,48.79,47.95,25773.84,-1.499589153656522
2019-12-03,48.7,47.51,48.18,48.31,23501.61,0.750782064650668
2019-12-04,48.9,48.21,48.78,48.48,15309.93,0.3518940178016905
2019-12-05,49.68,48.38,48.58,49.2,14586.26,1.4851485148514865
2019-12-06,51.57,48.69,49.16,50.5,26054.38,2.6422764227642226
2019-12-09,51.24,48.69,50.15,50.86,38601.21,0.7128712871287135
2019-12-10,52.38,50.32,50.85,51.8,28580.06,1.848210774675585
2019-12-11,52.42,51.31,51.8,51.88,25907.21,0.1544401544401719
2019-12-12,55.2,51.87,51.98,54.23,39875.8,4.529683885890501
2019-12-13,58.6,53.7,54.5,58.34,53013.68,7.578830905402922
2019-12-16,58.0,53.28,58.0,54.84,58219.34,-5.9993143640726725
2019-12-17,54.59,52.55,54.56,53.44,54274.0,-2.5528811086798053
2019-12-18,54.2,52.92,53.26,53.9,42314.89,0.8607784431137633
2019-12-19,53.99,52.9,53.92,52.95,26013.62,-1.7625231910946115
2019-12-20,53.42,52.53,53.2,53.22,20126.49,0.5099150141643083
2019-12-23,52.94,51.55,52.91,52.18,33408.93,-1.9541525742202137
2019-12-24,53.47,52.22,52.22,53.0,22669.57,1.5714833269451889
2019-12-25,53.98,52.36,53.69,52.51,21003.34,-0.9245283018867956
2019-12-26,53.02,51.9,52.79,52.7,17778.29,0.3618358407922351
2019-12-27,53.3,51.98,52.86,52.14,20150.8,-1.0626185958254264
2019-12-30,52.45,51.5,52.24,52.24,19896.01,0.1917913310318431
2019-12-31,53.0,50.8,52.58,51.96,31193.63,-0.535987748851452
2020-01-02,52.82,51.31,52.27,51.71,31820.83,-0.48113933795227437
2020-01-03,51.9,51.0,51.82,51.4,20695.01,-0.5994971959002227
2020-01-06,51.44,50.19,50.91,50.55,31500.07,-1.65369649805448
2020-01-07,50.95,50.51,50.85,50.82,21691.95,0.5341246290801349
2020-01-08,51.37,50.3,50.93,51.33,28876.31,1.0035419126328105
2020-01-09,52.38,51.07,51.07,52.37,34506.72,2.026105591272165
2020-01-10,53.19,51.7,52.38,52.35,29737.64,-0.0381898033225081
2020-01-13,52.98,52.0,52.35,52.93,18040.28,1.1079274116523319
2020-01-14,52.9,50.7,52.9,50.86,50576.91,-3.910825618741731
2020-01-15,51.49,50.27,50.86,50.86,27980.63,0.0
2020-01-16,51.49,50.9,51.13,51.24,16206.45,0.7471490365709821
2020-01-17,51.69,50.27,51.24,50.73,26019.94,-0.9953161592505921
2020-01-20,51.79,49.87,49.87,51.52,25109.61,1.5572639463828253
2020-01-21,51.68,48.2,51.68,49.22,51063.34,-4.464285714285721
2020-01-22,49.59,47.68,49.08,49.3,35721.5,0.1625355546525764
2020-01-23,49.7,46.85,49.59,47.91,42787.57,-2.8194726166328565
2020-02-03,44.0,43.12,43.12,43.2,41255.33,-9.83093299937381
2020-02-04,46.48,43.12,43.22,45.35,39978.07,4.976851851851838
2020-02-05,46.46,44.92,45.68,45.57,34650.88,0.4851157662624006
2020-02-06,47.89,45.02,45.7,47.49,33833.19,4.213298222514816
2020-02-07,50.23,46.7,47.38,49.91,38660.28,5.095809644135585
2020-02-10,50.1,48.5,49.8,49.6,30013.29,-0.6211180124223503
2020-02-11,50.47,49.01,49.74,49.6,21570.71,0.0
2020-02-12,50.0,48.68,49.61,49.38,22856.98,-0.44354838709677047
2020-02-13,49.54,48.38,49.5,49.4,19383.53,0.04050222762250755
2020-02-14,49.69,48.31,49.35,49.15,26316.77,-0.5060728744939236
2020-02-17,49.49,48.5,49.0,48.96,27128.95,-0.38657171922684697
2020-02-18,48.88,48.14,48.88,48.5,29570.17,-0.9395424836601274
2020-02-19,50.68,48.0,48.5,49.87,45443.94,2.824742268041236
2020-02-20,50.66,49.5,49.99,50.22,42255.11,0.7018247443352665
2020-02-21,50.05,48.16,50.05,48.39,57570.88,-3.6439665471923455
2020-02-24,48.3,46.77,48.3,47.7,42905.31,-1.4259144451332917
2020-02-25,48.23,46.78,46.78,47.28,38689.19,-0.8805031446540879
